rubric,source,link,title
Санкт-Петербург,За рулем,https://dzen.ru/news/story/3cfc4b1f-fb93-5477-b726-892a7ab0c564?lang=ru&rubric=auto&fan=1&t=1715873725&persistent_id=2776472653&cl4url=dbcc377a335251d4c3a5b959a5cd3bd6&story=5d54e3da-4881-5952-8642-410ffcd1cbf2,В Москве состоялась презентация обновленного лифтбека FAW Bestune B70
Санкт-Петербург,Московский Комсомолец Тула,https://dzen.ru/news/story/626c6173-5312-56d1-9c97-ba5c03df5bbb?lang=ru&rubric=auto&fan=1&t=1715873725&persistent_id=2776399168&cl4url=785e0258682f1f09fc1e0a6e7825de7d&story=b673dfed-bc11-52db-b15b-db4decd83fc8,Интерес туляков к рынку автомобилей с пробегом пропал
Главное,other sorces,https://dzen.ruhttps://dzen.ru/news/story/75039ac9-4e30-5031-979a-bea6ca4c3673?lang=ru&rubric=Saint_Petersburg&fan=1&t=1715873725&persistent_id=2776491778&cl4url=329a9843ff6cf21b6817db2f42d6f28a&story=ba95ea11-bc6e-5a52-b2b2-8651377f9fc4,Памятник Петру I у Михайловского замка огородили от рук туристов
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/52630adc-5241-5381-bb88-c6c8d22a2191?lang=ru&rubric=Saint_Petersburg&fan=1&t=1715873725&persistent_id=2776485232&cl4url=f83f9a4923106525d0a7db741903a0ed&story=558e2d10-b479-5d10-9b91-838e4b9e87c3,
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/381d1087-02b9-5655-8265-f522e95aeaea?lang=ru&rubric=Saint_Petersburg&fan=1&t=1715873725&persistent_id=2776500062&cl4url=c253240512b90d9e92cc66ed67bdda5e&story=81ce41f6-749d-56ce-87bc-8ac32c49b698,"Биолог Павел Глазков показал огромную стаю гусей, отдыхавших под Петербургом"
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/99b78a58-3284-5957-a0ed-4c0039b60477?lang=ru&rubric=Saint_Petersburg&fan=1&t=1715873725&persistent_id=2776475151&cl4url=6ba14108dab30f5200e59ea10fab007c&story=c3b04198-46cc-555b-a410-588a489fe459,
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/a525ac65-231a-5f91-8620-a7ddaa8ef557?lang=ru&rubric=Saint_Petersburg&fan=1&t=1715873725&persistent_id=2776478645&cl4url=ba5d326b6e2bf4ab968a7f2abff1d094&story=1846eef6-12ae-54ac-bd8d-22f4834fbb76,Из Петербурга запустят прямой рейс в Батуми
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/6825bd0a-0e5a-51e4-9a00-a58b35e09f66?lang=ru&rubric=Saint_Petersburg&fan=1&t=1715873725&persistent_id=2776491583&cl4url=7bb9cd873b2fdea6bb35088d2665e0cd&story=365df3fe-8f96-5f1d-9b93-faef44c12bf5,
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/03d50faf-e3f5-5b44-90b0-358134938b5c?lang=ru&rubric=Saint_Petersburg&fan=1&t=1715873725&persistent_id=2776481471&cl4url=f5d759e548cde1bd012b01777f5e5edc&story=9a4c2df0-1d0b-56c7-8f7f-4a3f3f914f84,Умер режиссер-постановщик Театра им. Ленсовета Олег Леваков
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/58945075-3a78-5ec9-81eb-621c2dee45f9?lang=ru&rubric=Saint_Petersburg&fan=1&t=1715873725&persistent_id=2776497304&cl4url=08edad8b430a197e829733f2be255c47&story=62e5112e-3c4c-5a8d-8f1b-9a74c620b436,
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/c53d050f-562a-5435-bef8-d8af8d94d1a6?lang=ru&rubric=Saint_Petersburg&fan=1&t=1715873725&persistent_id=2776483203&cl4url=f30ba5915714ee4d95aa56eddf47a5be&story=12f49451-c89f-575c-a914-1c4265382221,Вратарь ЦСКА Шайхутдинов раскритиковал Алипа за фол на Торопе
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/0f747d46-4828-59f5-bd3c-b8a5e08d08dc?lang=ru&rubric=Saint_Petersburg&fan=1&t=1715873725&persistent_id=2776481908&cl4url=f2d90716dc36a7f6dd56e443baefbcc9&story=3422234e-92f9-5a50-b300-875ca86683f0,
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/d4253b99-0a81-5f3a-b88f-1d27f783cc04?lang=ru&rubric=Saint_Petersburg&fan=1&t=1715873725&persistent_id=2776490983&cl4url=160d5fdf1b187af488bb8b8a086b83f6&story=33844364-6959-555b-afed-ea69fdeedc7a,В Эрмитаже и Нижнем парке Петергофа прошла эвакуация из-за анонимного звонка
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/d9ffcb5a-41be-5fbc-9ba1-21880c1113f3?lang=ru&rubric=Saint_Petersburg&fan=1&t=1715873725&persistent_id=2776489699&cl4url=8cc7e01dde08011ccde5bf07419b0d9f&story=95c597e0-1743-5b41-b875-02eee71f4f35,
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/8c142caa-2883-51ba-b96a-0cbd5d7f8ef1?lang=ru&rubric=Saint_Petersburg&fan=1&t=1715873725&persistent_id=2776491927&cl4url=48d3dc4d82c8c3587f848ca89f9adbe5&story=27a07d9e-e963-593d-91dc-10c518a44d33,Под Петербургом тестируют новую систему наблюдения за беспилотниками
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/cb9d7609-9e9a-58ff-a01a-c10671c0e231?lang=ru&rubric=Saint_Petersburg&fan=1&t=1715873725&persistent_id=2776491608&cl4url=3d5f8d4607bd28a6f8ab0d92f99d8186&story=81799e90-833e-5a81-bdb6-d39bbd7fbc30,
